age,sleep_cycle,exercise_habits,climate_zone,historical_cuisine_exposure,preferred_taste
56.0,Irregular,Heavy,Temperate,,Salty
,Night Owl,Heavy,Temperate,Asian,Sweet
46.0,Night Owl,Heavy,Cold,Mixed,Sour
32.0,Early Bird,Heavy,Cold,Mediterranean,Salty
60.0,Night Owl,Moderate,Dry,Mediterranean,Sour
25.0,Early Bird,Heavy,Cold,Mediterranean,Sour
38.0,Irregular,Light,Temperate,Mixed,Sour
56.0,,Light,Cold,Mixed,Sour
36.0,Irregular,Light,Tropical,Mediterranean,Sweet
40.0,Early Bird,Light,Temperate,Asian,Sweet
28.0,Night Owl,Moderate,Cold,Mixed,Sweet
28.0,Irregular,Heavy,Temperate,Mixed,Sour
41.0,Night Owl,Heavy,Dry,Asian,Sweet
53.0,Night Owl,Light,Tropical,Mediterranean,Sweet
57.0,Irregular,,Dry,Asian,Sweet
41.0,Early Bird,Light,Tropical,Mixed,Sweet
20.0,Night Owl,Heavy,Cold,Mediterranean,Sweet
39.0,,Moderate,Temperate,Mediterranean,Salty
,Night Owl,Moderate,Cold,Asian,Sweet
41.0,Night Owl,,Dry,Mixed,Sour
61.0,Night Owl,Moderate,Temperate,Mixed,Sour
47.0,Night Owl,,Cold,Mediterranean,Sweet
55.0,Night Owl,Heavy,Cold,Mixed,Sour
19.0,Early Bird,Light,Temperate,Mediterranean,Sweet
38.0,Early Bird,Moderate,Temperate,Mediterranean,Salty
50.0,Irregular,Light,Dry,Mediterranean,Sour
29.0,Early Bird,Moderate,Tropical,Mixed,Sweet
39.0,Early Bird,Heavy,Tropical,Asian,Sweet
61.0,Early Bird,Moderate,Temperate,,Salty
42.0,Night Owl,Light,Tropical,Asian,Spicy
66.0,Night Owl,,Dry,Asian,Sweet
44.0,Irregular,Moderate,Tropical,Asian,Sweet
59.0,Irregular,Moderate,Temperate,Asian,Sour
45.0,Irregular,Heavy,Dry,Asian,Sour
33.0,Night Owl,Light,Temperate,Mediterranean,Sweet
,Early Bird,Heavy,Dry,Mixed,Salty
64.0,Early Bird,Light,Dry,Asian,Sweet
68.0,Night Owl,Moderate,Temperate,,Sour
61.0,Irregular,Moderate,Cold,Mixed,Salty
69.0,Irregular,Heavy,Temperate,Mediterranean,Salty
,Irregular,Moderate,Dry,Asian,Sweet
54.0,Night Owl,Heavy,Temperate,,Sour
68.0,Irregular,Moderate,Temperate,Mixed,Salty
24.0,Irregular,Moderate,Dry,Asian,Sweet
38.0,Night Owl,Light,,Mediterranean,Sweet
26.0,Early Bird,Heavy,Dry,Mediterranean,Sour
56.0,Night Owl,Heavy,Temperate,,Sweet
35.0,Night Owl,Moderate,Dry,Mixed,Sour
21.0,,Light,Dry,Mediterranean,Sweet
42.0,Night Owl,Light,Tropical,Mediterranean,Sweet
31.0,Early Bird,Heavy,Cold,Mixed,Salty
67.0,Irregular,Heavy,Temperate,Mixed,Salty
26.0,Night Owl,Moderate,Temperate,Mixed,Sweet
43.0,Early Bird,Heavy,,Mixed,Sour
19.0,Irregular,Moderate,Dry,Asian,Sweet
37.0,Irregular,Light,Cold,Mixed,Sour
45.0,Irregular,Heavy,Temperate,Mediterranean,Salty
64.0,Night Owl,Light,Cold,Mixed,Sweet
24.0,Night Owl,Light,Cold,Mixed,Sweet
61.0,Irregular,Moderate,Dry,,Sour
25.0,Irregular,Light,Dry,Asian,Sweet
64.0,Irregular,Moderate,,Mixed,Salty
52.0,Irregular,Moderate,Temperate,Asian,Sour
31.0,,Light,Cold,Asian,Sweet
34.0,Irregular,Light,Cold,Asian,Sweet
53.0,Early Bird,,Temperate,Asian,Sour
67.0,Irregular,Moderate,Tropical,Mixed,Sour
57.0,Night Owl,Light,Dry,Asian,Sweet
21.0,Night Owl,Moderate,Temperate,Asian,Sweet
19.0,Night Owl,Moderate,Dry,Mediterranean,Sweet
23.0,Irregular,Heavy,Cold,,Sour
59.0,Night Owl,Heavy,Temperate,Asian,Sweet
21.0,Early Bird,Heavy,Tropical,,Sweet
46.0,Irregular,Heavy,Dry,Asian,Sour
35.0,Night Owl,Heavy,Cold,Mixed,Sour
43.0,Early Bird,Moderate,Cold,Mediterranean,Salty
61.0,Early Bird,Moderate,Tropical,Mediterranean,Sour
51.0,Night Owl,Heavy,Tropical,Mixed,Sweet
27.0,,Light,Dry,Mediterranean,Sweet
,Night Owl,Heavy,Cold,Mediterranean,Sour
31.0,Early Bird,Light,Tropical,Asian,Sweet
48.0,Irregular,Moderate,Temperate,Mediterranean,Salty
65.0,Irregular,Light,Tropical,Mixed,Sweet
